Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,Czech Republic,Import,  All Products,Import (US$ Thousand),,,293444.48,335138.528,385252.576,504832.64,639117.696,695765.632,782422.08,1070188.895,1116218.271,1294859.943,1458128.404,1837848.96,2288779.813,2455487.081,2525102.375,2666473.227,1978430.865,2533172.742,3453620.722,3930623.396,3922887.32,4479007.672,4646155.337,4544941.787,4736411.072,5164872.646
United States,Czechoslovakia,Import,  All Products,Import (US$ Thousand),155621.376,256159.056,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Denmark,Import,  All Products,Import (US$ Thousand),1731590.272,1736427.648,1740745.216,2211470.848,2032749.312,2222846.72,2224985.6,2481713.664,2932773.12,2965018.323,3406699.361,3346787.282,3843699.151,4017662.511,5305163.507,5707426.862,6233085.011,6593740.729,5699234.222,6145915.239,6908880.516,6776687.805,6494185.788,7631110.147,7885648.774,8075664.946,7847466.288,9022254.482
United States,Djibouti,Import,  All Products,Import (US$ Thousand),53.447,,35.905,70.067,36.509,8.037,,541.402,119.218,419.099,950.571,1966.659,633.272,1037.466,1135.885,3357.609,4624.793,7092.775,2950.942,3054.932,4120.233,11849.636,3948.158,11982.8,35617.518,28280.226,34672.571,48113.055
United States,Dominica,Import,  All Products,Import (US$ Thousand),4935.3,4719.029,6083.865,7284.577,7070.367,8368.677,9568.948,6767.298,23393.154,6926.378,5267.936,5097.282,5769.851,3360.715,3632.01,3311.667,1857.713,2455.036,2852.527,1706.347,1990.612,1744.607,2597.685,1647.218,1755.55,2760.455,1319.443,1406.342
United States,Dominican Republic,Import,  All Products,Import (US$ Thousand),2085367.296,2452305.152,2757527.296,3187780.352,3511096.576,3676937.472,4444693.504,4551144.448,4377541.12,4383331.494,4183435.412,4271427.787,4558007.063,4636706.77,4721498.253,4649199.453,4327915.453,4087183.917,3420570.052,3771603.261,4312687.648,4370347.502,4261017.144,4637891.378,4781211.062,4788622.687,4868055.113,5444957.069
United States,East Timor,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,101.549,25,3690.085,28.364,85.373,12.14,324.643,24.198,69.071,,27.152,97.608,116.241,188.27,3371.638,5579.955,5610.249,7609.871
United States,Ecuador,Import,  All Products,Import (US$ Thousand),1513189.504,1494557.312,1562857.088,1937010.816,2157904.64,2121342.08,2280250.368,1989375.872,2045986.304,2237823.405,2009694.887,2388393.152,3031418.305,4689776.221,6214646.913,7571519.548,6539781.58,9532635.835,5610194.134,7834762.929,10033289.82,9484411.908,11491155.31,11296253.73,7921963.141,6493997.005,6758664.366,7082206.086
United States,"Egypt, Arab Rep.",Import,  All Products,Import (US$ Thousand),223534.384,465595.264,663213.76,592828.352,653881.28,713464.384,694858.112,698609.472,650651.904,887730.766,882037.807,1420921.218,1218317.846,1392044.331,2221127.496,2573354.773,2544980.478,2484391.703,2169427.899,2355252.806,2161941.843,3000099.879,1614561.651,1482052.723,1479921.107,1561796.549,1718942.452,2582465.144
United States,El Salvador,Import,  All Products,Import (US$ Thousand),322425.824,409322.432,512927.68,634610.176,843064.64,1111314.944,1385419.776,1478918.016,1648178.432,1932937.857,1880151.86,2038416.96,2077134.183,2111608.069,2052289.092,1919070.376,2118517.214,2308597.658,1881101.369,2273734.326,2559804.055,2587563.48,2437350.911,2471842.719,2609712.937,2571240.315,2534733.141,2582401.03
United States,Equatorial Guinea,Import,  All Products,Import (US$ Thousand),266.15,24.269,3960.865,330.539,34492.612,81982.584,33033.324,73551.544,45290.592,154716.659,463942.587,533817.979,962963.237,1258840.198,1674639.277,1825405.066,1861818.069,3495118.929,2587063.732,2289204.623,1223537.879,1699803.812,897993.733,268273.874,174789.719,210132.579,378145.026,606331.712
United States,Eritrea,Import,  All Products,Import (US$ Thousand),,,,,388.54,1775.606,1425.833,764.801,499.276,196.134,88.586,414.532,259.584,481.208,1341.694,895.512,451.234,138.123,545.599,107.32,149.126,199.965,157.595,103.907,115.179,484.311,284.112,290.454
United States,Estonia,Import,  All Products,Import (US$ Thousand),,13698.067,21402.732,32536.668,69444.296,65235.42,85692.32,138306.128,259060.704,572923.755,241076.784,173968.397,195127.188,431711.849,547257.1,560143.694,311275.202,407558.283,168971.038,721582.167,996135.886,506541.064,422700.808,574883.121,517564.384,1016676.116,623203.267,980554.544
United States,Eswatini,Import,  All Products,Import (US$ Thousand),,,,,,,,,,52576.931,64919.162,123085.565,173549.37,209081.449,207283.234,164395.111,154232.118,142082.256,115611.25,126031.778,93000.444,66637.548,58940.474,85515.308,22848.025,17443.952,20813.967,13705.609
United States,Ethiopia(excludes Eritrea),Import,  All Products,Import (US$ Thousand),,,23699.012,36277.464,34338.916,36013.284,72304.2,54446.104,32039.076,28659.924,29052.105,28353.545,33637.991,45421.436,66657.555,85442.732,93335.371,158942.947,119458.373,134563.009,149423.224,183126.469,193566.884,214043.865,319045.615,247087.098,302812.173,458397.158
United States,Ethiopia(includes Eritrea),Import,  All Products,Import (US$ Thousand),15400.61,8854.57,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Faeroe Islands,Import,  All Products,Import (US$ Thousand),32706.226,24079.986,9487.683,10064.187,8771.192,8756.142,15107.651,11794.842,23611.376,31420.346,13261.285,16658.132,18466.207,7446.157,4720.159,4618.484,9465.508,22150.794,85051.729,92897.607,135552.602,72626.589,126272.024,191169.178,136918.212,173851.347,153221.692,139986.316
United States,Falkland Island,Import,  All Products,Import (US$ Thousand),517.554,219.048,50.768,273.687,458.047,506.533,590.773,181.407,1635.317,3120.84,6858.628,6230.589,5191.269,6760.627,9426.95,12420.695,4911.718,7391.06,8598.992,5531.186,6987.682,11210.967,13623.943,19920.017,14384.631,19912.987,11825.802,13172.826
United States,Fiji,Import,  All Products,Import (US$ Thousand),48494.656,81458.072,74979.888,103497.848,85721.576,83904.144,94599.376,112272.816,112608.264,146835.482,182346.038,170430.32,185602.712,227426.019,187579.856,172444.82,190531.165,196534.056,167507.043,208294.418,160166.754,188537.782,173900.725,219110.914,244481.529,246828.728,273651.721,276207.995
United States,Finland,Import,  All Products,Import (US$ Thousand),1168092.16,1265864.32,1720468.864,1928019.328,2391221.248,2464205.312,2527921.408,2746753.792,3043026.432,3250760.508,3393758.778,3609949.397,3782906.879,4087247.92,4537264.431,5176107.849,5500865.507,6142785.607,4134392.023,4046473.59,4611766.741,5109483.449,4668123.535,5226663.235,4675357.388,4747728.858,6062686.319,7358350.507
United States,Fm Sudan,Import,  All Products,Import (US$ Thousand),16366.592,11470.239,12348.713,36634.732,23501.224,19635.348,12931.32,3350.295,62.809,1808.412,3385.389,1458.157,3060.807,3839.308,14082.229,6501.203,8071.959,5403.926,10732.365,8800.875,11076.603,,,,,,,
United States,Fr. So. Ant. Tr,Import,  All Products,Import (US$ Thousand),178.001,85.977,11.372,,431.071,513.498,,1100.794,,52.2,190.941,6.844,69.208,91.608,52.238,98.517,572.213,529.587,147.264,22.851,44.591,28.659,186.269,524.894,14.889,78.153,141.132,26.578
United States,France,Import,  All Products,Import (US$ Thousand),13768015.87,15260816.38,15689814.02,17315964.93,17768144.9,19202768.9,21345394.69,24736794.62,26548740.1,29833154.47,30431140.45,28858103.03,29893781.74,32409880.34,34765548.7,38082574.46,42492266.04,44886713.69,34582355.37,38982183.97,40804610.65,41793162.27,45808592.44,47750027.42,48864400.4,47766560.29,50049674.52,53621601.77
United States,French Guiana,Import,  All Products,Import (US$ Thousand),565.193,3252.587,2833.438,3260.465,5799.565,,,,,,,,,,,,,,,,,,,,,,,
United States,French Polynesia,Import,  All Products,Import (US$ Thousand),13097.489,11059.282,8589.64,14603.34,14263.483,17424.888,36410.58,34380.72,43278.248,43947.397,47972.57,45627.307,49127.497,68426.382,61485.975,59136.773,63515.106,73372.094,30569.813,54532.312,55911.415,59411.496,36414.497,43913.39,47083.721,36752.598,52093.133,40226.392
United States,Gabon,Import,  All Products,Import (US$ Thousand),766536.576,983524.032,1008651.648,1237783.808,1557556.608,2067014.528,2348077.312,1381740.16,1619066.368,2196510.07,1659720.838,1660731.364,2074570.978,2619922.833,2955115.583,1416433.382,2243344.876,2372198.048,1283322.123,2276496.539,4659044.777,1885875.183,1112280.961,832821.125,353020.064,114328.271,208989.678,299072.276
